type,grid_id,dataset,VV,area_m,swir1,NWIclss,swir2,STATEFP,spei30d,sp30d_2,red,Plt_Dts,sp30d_1,nir,wt30_10,area_cr,VVVH_rt,wt90_10,green,cellnum,count,STUSPS,z_2,z_1,rownum,h90_100,VH,blue,h30_100,mean,rd_dg_1,z,rd_dg_2,rd_dg_3,mx_xtnt,PercFll,flyvr_d,PE,pssblyW,plot_id,NDVI,NDWI,mNDWI1,mNDWI2,NDMI1,NDMI2,NDRE,NDPI,BU3,AWEI,AWEISH,BSI,DVW,DVI,IFW,IPVI,MBSRV,MBSRN,MIFW,OSAVI,SAVI,RVI,TVI,WRI,WTI,VARI,BGR,GRR,RBR,SRBI,NPCRI,EVI3b,EVI2b,ABWI,TCB,TCG,TCW,NA_L3NA,NA_L2NA,OBJECTI,JV,Acres,Shp_Lng,Shap_Ar,L3mod,clstr_d,block,grid_area_prop,geometry,cluster_id
wet,41,2019,0.226967720538271,1719.4716627413873,0.3401,4,0.2505,27,1.69,1.570000052,0.1929,758_2019,1.45,0.286,1.39999997616,0.424890045221711,3.130718202298117,1.39999997616,0.1408,178,1,MN,4.6449999809,4.35,45621,79,0.078158277812185,0.113,1,96,0.2102,4.94,0.22495,0.2406,0,NA,NA,NA,NA,758,0.194403842138233,-0.34020618556701,-0.414431274693283,-0.280347559417327,-0.086407922057179,0.066169617893756,0.152760983474405,0.414431274693283,0.247,-1.116475,-0.536775,114.37768240343348,0.534610027705244,0.0931,0.1452,0.597201921069117,0.3337,0.6261,0.1993,0.145719204883393,0.142660128715906,1.482633488854329,3.502,0.532981951764894,0.298519,-0.236067059356593,0.802556818181818,0.729911871435977,1.707079646017699,-0.0799,0.261196469434456,0.14584247133279,0.133079087000274,-0.324869644071639,0.49576578,-0.06061233,-0.28256604,Aspen Parkland/Northern Glaciated Plains,TEMPERATE PRAIRIES,1,Prairie Pothole,248441000,5619189.48992,478573601978,Aspen Parkland/Northern Glaciated Plains,2,1 - 2019,1,"c(726255.911553566, 4935333.43656784)",1
wet,30,2019,0.113917558907739,1412.8547002002888,0.1814,-9999,0.1236,46,0.8,0.800000012,0.0534,380_2019,0.8,0.0628,1.43529641628,0.349123460692992,7.846921269813719,1.43529641628,0.0398,891,1,SD,2.6399998665,2.48,35691,0,0.016296182318087,0.0313,1,1,0.08,2.8,0.0845,0.0873,0,NA,NA,NA,NA,380,0.080895008605852,-0.224171539961014,-0.640144665461121,-0.512851897184823,-0.485667485667486,-0.32618025751073,-0.120448179271709,0.640144665461121,0.172,-0.59835,-0.2664,142.77896017026453,0.305066548566865,0.0094,0.023,0.540447504302926,0.0932,0.2442,0.1416,0.034033309196235,0.022882181110029,1.176029962546816,0.019999999999999,0.381654381654382,0.075598,-0.219709208400646,0.78643216080402,0.745318352059925,1.706070287539936,-0.0221,0.260920897284534,0.020462362314424,0.019731980922953,-0.494210847044485,0.15725958,-0.04267251,-0.17498628,Aspen Parkland/Northern Glaciated Plains,TEMPERATE PRAIRIES,1,Prairie Pothole,248441000,5619189.48992,478573601978,Aspen Parkland/Northern Glaciated Plains,2,1 - 2019,1,"c(555599.830234959, 4949159.81952238)",1
dry,29,2019,0.119635613139016,NA,0.20345,-9999,0.12055,46,0.8,0.715000033,0.05955,NA,0.63,0.2231,1.33003497124,NA,7.646649321190734,1.33003497124,0.0642,NA,1,SD,2.2899999619,2.13,NA,0,0.015336182156845,0.03535,2,3,0.1148,2.45,0.194,0.2134,0,NA,NA,NA,1,647,0.578630815496197,-0.553080403759137,-0.520269008032879,-0.305006765899865,0.046067284022975,0.298414084097192,0.320509026339154,0.520269008032879,0.0399,-0.6716125,-0.4741125,100.87256688081312,1.131711219255333,0.16355,0.1589,0.789315407748098,0.12375,0.42655,0.13925,0.369479272562973,0.313454289912477,3.746431570109152,9.999,0.290118391747744,0.1501235,0.052601809954751,0.550623052959502,1.07808564231738,1.684582743988685,-0.0242,0.255005268703899,0.310866548820589,0.299318458002079,-0.549419427924101,0.29013922,0.05172787,-0.16577013,Aspen Parkland/Northern Glaciated Plains,TEMPERATE PRAIRIES,1,Prairie Pothole,248441000,5619189.48992,478573601978,Aspen Parkland/Northern Glaciated Plains,2,1 - 2019,0.9583358723494952,"c(601144.178267077, 4775318.5323125)",1
dry,38,2019,0.092385971341715,NA,0.2229,-9999,0.1576,46,1.13,1.014999986,0.1422,NA,0.9,0.205,1.02121400833,NA,8.335991803942909,1.02121400833,0.1094,NA,1,SD,3.2999999523,2.98,NA,5,0.011082780971308,0.0883,5,38,0.1164,3.62,0.1262,0.135,0,NA,NA,NA,1,369,0.180875576036866,-0.304071246819338,-0.341558832380379,-0.180524344569288,-0.041832203785931,0.130722559293988,0.275668948350964,0.341558832380379,0.1601,-0.712425,-0.31945,110.90522478736332,0.484946822856205,0.0628,0.0956,0.590437788018433,0.2516,0.4279,0.1135,0.123817034700315,0.111189801699717,1.441631504922644,2.456,0.587987847627951,0.217552,-0.200857317819963,0.807129798903108,0.769338959212377,1.610419026047565,-0.053900000000000003,0.233839479392625,0.112468211612164,0.101534004190703,-0.265398746488005,0.35322274,-0.0448425,-0.17081107,Aspen Parkland/Northern Glaciated Plains,TEMPERATE PRAIRIES,1,Prairie Pothole,248441000,5619189.48992,478573601978,Aspen Parkland/Northern Glaciated Plains,2,1 - 2019,0.9999999999999996,"c(636078.264588548, 5000172.74499034)",1
dry,19,2019,0.093954728762841,NA,0.25475,-9999,0.17775,46,1.01,0.904999971,0.07435,NA,0.8,0.3133,1.39041614532,NA,5.917783699300228,1.39041614532,0.0892,NA,1,SD,2.1849999428,1.67,NA,0,0.014430315093079,0.06425,1,8,0.13365,2.7,0.2646,0.29695,0,NA,NA,NA,1,668,0.616406552302335,-0.556770186335404,-0.481319959296409,-0.331710058063308,0.103071912683743,0.276041136340495,0.401946526457098,0.481319959296409,0.0158,-0.8674375,-0.6092625,93.1437062194863,1.173176738637738,0.23895,0.2241,0.808203276151167,0.16355,0.56805,0.16555,0.436318816762531,0.403790908578832,4.213853396099529,14.931,0.287914796232726,0.2023775,0.149546827794562,0.720291479820628,1.199731002017485,1.157198443579766,-0.0101,0.072871572871573,0.467603373710886,0.400455173153499,-0.532046014790468,0.40325006,0.06942759,-0.21099614,Northwestern Great Plains,WEST-CENTRAL SEMI-ARID PRAIRIES,1,Prairie Pothole,248441000,5619189.48992,478573601978,Northwestern Plains,1,1 - 2019,0.3468027282650459,"c(415394.1538638, 4914933.87600219)",1
dry,37,2019,0.082555043887058,NA,0.2835,4,0.1728,46,1.13,1.129999995,0.0688,NA,1.13,0.3982,1.41748571396,NA,2.864095605731936,1.41748571396,0.0814,NA,0,SD,2.7150001526,2.68,NA,35,0.028824122952404,0.0504,1,93,0.1367,2.75,0.3066,0.3597,0,NA,NA,NA,1,405,0.705353319057816,-0.660550458715596,-0.553850369964374,-0.359559402045633,0.168255831010709,0.394746059544659,0.488876425500094,0.553850369964374,-0.0459,-0.970575,-0.81185,87.97602696965913,1.365903777773412,0.3294,0.3168,0.852676659528908,0.1502,0.6817,0.2021,0.525358851674641,0.510961737331955,5.787790697674419,20.268,0.220331524130849,0.233834,0.12625250501002,0.619164619164619,1.183139534883721,1.365079365079365,-0.0184,0.154362416107383,0.57466852756455,0.526763554486606,-0.619751682304995,0.46052482,0.13777333,-0.22701601,Aspen Parkland/Northern Glaciated Plains,TEMPERATE PRAIRIES,1,Prairie Pothole,248441000,5619189.48992,478573601978,Aspen Parkland/Northern Glaciated Plains,2,1 - 2019,0.8047180421464885,"c(669490.591966435, 4825831.20031171)",1
dry,42,2019,0.034539298715169,NA,0.22995,-9999,0.1286,27,0.71,0.514999986,0.04815,NA,0.32,0.4373,1.09783506393,NA,4.377152055582872,1.09783506393,0.07435,NA,1,MN,1.2200000286,0.87,NA,17,0.007890815369577,0.04345,2,5,0.117,1.57,0.3431,0.41555,0,NA,NA,NA,1,261,0.801627356061386,-0.709371640770058,-0.511337495892212,-0.267307218526731,0.310753091045335,0.545502738999823,0.577845931805881,0.511337495892212,-0.1592,-0.7959375,-0.8037,73.29511761217631,1.510998996831444,0.38915,0.36295,0.900813678030693,0.1225,0.66725,0.1556,0.602912696568286,0.592343599370846,9.082035306334372,24.397,0.183589359310603,0.2318555,0.331435800126502,0.584398117014122,1.544132917964694,1.108170310701956,-0.0047,0.051310043668122,0.6947494331673,0.626505287018791,-0.654917862341443,0.454991,0.190633775,-0.163850265,Aspen Parkland/Northern Glaciated Plains,TEMPERATE PRAIRIES,1,Prairie Pothole,248441000,5619189.48992,478573601978,Aspen Parkland/Northern Glaciated Plains,2,1 - 2019,0.9995967376194028,"c(749312.156941853, 5069058.49018428)",1
dry,30,2019,0.058803455428329,NA,0.3314,-9999,0.2181,46,0.63,0.585000038,0.1668,NA,0.54,0.2978,1.23250901699,NA,5.520896890553712,1.23250901699,0.1328,NA,1,SD,1.6700000763,1.52,NA,16,0.013714147172075,0.0976,3,4,0.1969,1.82,0.2488,0.2687,0,NA,NA,NA,1,439,0.281962978906586,-0.383186251741756,-0.427832830676433,-0.243089199202052,-0.053401144310235,0.154487303741035,0.203961997170002,0.427832830676433,0.2004,-1.0711,-0.568725,111.50402864816472,0.665149230648342,0.131,0.165,0.640981489453293,0.2996,0.6292,0.1986,0.209734229907141,0.203711382956666,1.78537170263789,6.5,0.476160203432931,0.279842,-0.168316831683168,0.734939759036145,0.796163069544364,1.709016393442623,-0.0692,0.261724659606657,0.20905144899782999,0.192860339669752,-0.361671353957413,0.47843141,-0.02288304,-0.26560152,Aspen Parkland/Northern Glaciated Plains,TEMPERATE PRAIRIES,1,Prairie Pothole,248441000,5619189.48992,478573601978,Aspen Parkland/Northern Glaciated Plains,2,1 - 2019,1,"c(573690.336191153, 5000709.81781706)",1
dry,26,2019,0.054756621245318,NA,0.1409,-9999,0.0791,46,0.63,0.585000038,0.0443,NA,0.54,0.269,1.21783173084,NA,3.877527336570461,1.21783173084,0.0615,NA,1,SD,1.2300000191,1.12,NA,6,0.015887283315373,0.0317,3,47.5,0.0808,1.34,0.1709,0.2025,0,NA,NA,NA,1,671,0.717203957867858,-0.627836611195159,-0.392292490118577,-0.125177809388336,0.312515247621371,0.545532892846883,0.538021726700972,0.392292490118577,-0.0838,-0.472325,-0.449175,76.2296768882486,1.345040569063017,0.2247,0.2075,0.858601978933929,0.1058,0.4099,0.0794,0.474751743080499,0.414422722242715,6.072234762979685,14.170000000000002,0.258111734569407,0.155983,0.232118758434548,0.515447154471545,1.388261851015801,1.397476340694006,-0.0126,0.165789473684211,0.43309818434139,0.408450396998517,-0.561053471667997,0.29255119,0.10295417,-0.09415567,Aspen Parkland/Northern Glaciated Plains,TEMPERATE PRAIRIES,1,Prairie Pothole,248441000,5619189.48992,478573601978,Aspen Parkland/Northern Glaciated Plains,2,1 - 2019,0.974057209642716,"c(547037.876722118, 4871418.91794478)",1
wet,44,2019,0.085108332129074,5350.205884996103,0.22405,4,0.1249,27,1.45,1.174999952,0.05835,759_2019,0.9,0.308,0.96203988791,1.322062625211962,4.643735668114286,0.96203988791,0.07255,17,1,MN,3.1449999809,2.89,45637,7,0.01921351356326,0.0418,5,95,0.13545,3.4,0.2625,0.3005,0,NA,NA,NA,NA,759,0.681452163231882,-0.618709762186309,-0.510788941335132,-0.265130412762725,0.157785922375717,0.422961422961423,0.389108129439621,0.510788941335132,-0.0256,-0.7454875,-0.606125,89.33881683011705,1.300161925418191,0.24965,0.23545,0.840726081615941,0.1309,0.53205,0.1515,0.474304170228935,0.432244473942402,5.278491859468724,15.547,0.24602950850484,0.1855385,0.159371492704826,0.576154376292212,1.243359040274207,1.395933014354067,-0.01655,0.165252121817274,0.464171500818087,0.431013646031878,-0.583679865003315,0.3620522,0.10227557,-0.171183455,Western Corn Belt Plains,TEMPERATE PRAIRIES,1,Prairie Pothole,248441000,5619189.48992,478573601978,Western Corn Belt Plains,2,1 - 2019,0.9387625429127654,"c(777803.423229961, 4857907.96004246)",1
